year,Origin,Asylum,Refugee,originLon,originLat,destinationLon,destinationLat
2021,Ukraine,Romania,17,31.2718321,49.4871968,24.6859225,45.9852129
2021,Ukraine,South Africa,5,31.2718321,49.4871968,24.991639,-28.8166236
2021,Ukraine,Russian Federation,8921,31.2718321,49.4871968,97.7453061,64.6863136
2021,Ukraine,Spain,1515,31.2718321,49.4871968,-4.8379791,39.3260685
2021,Ukraine,Kosovo,15,31.2718321,49.4871968,20.9021231,42.5869578
2021,Ukraine,Slovakia,24,31.2718321,49.4871968,19.4528646,48.7411522
2021,Ukraine,Slovenia,5,31.2718321,49.4871968,14.8153333,46.1199444
2021,Ukraine,Sweden,226,31.2718321,49.4871968,14.5208584,59.6749712
2021,Ukraine,Switzerland,91,31.2718321,49.4871968,8.2319736,46.7985624
2021,Ukraine,Uruguay,11,31.2718321,49.4871968,-56.0201525,-32.8755548
2021,Ukraine,United States of America,2608,31.2718321,49.4871968,-100.445882,39.7837304
2022,Ukraine,Albania,2192,31.2718321,49.4871968,19.9999619,41.000028
2022,Ukraine,Argentina,121,31.2718321,49.4871968,-64.9672817,-34.9964963
2022,Ukraine,Armenia,131,31.2718321,49.4871968,44.6736646,40.7696272
2022,Ukraine,Australia,26,31.2718321,49.4871968,134.755,-24.7761086
2022,Ukraine,Austria,74689,31.2718321,49.4871968,14.12456,47.59397
2022,Ukraine,Azerbaijan,4788,31.2718321,49.4871968,47.7872508,40.3936294
2022,Ukraine,Belgium,48238,31.2718321,49.4871968,4.6667145,50.6402809
2022,Ukraine,Belarus,12231,31.2718321,49.4871968,27.6971358,53.4250605
2022,Ukraine,Bolivia,5,31.2718321,49.4871968,-64.9912286,-17.0568696
2022,Ukraine,Brazil,34,31.2718321,49.4871968,-53.2,-10.3333333
2022,Ukraine,Bosnia and Herzegovina,234,31.2718321,49.4871968,17.5961467,44.3053476
2022,Ukraine,Bulgaria,119450,31.2718321,49.4871968,25.4856617,42.6073975
2022,Ukraine,Canada,149,31.2718321,49.4871968,-107.991707,61.0666922
2022,Ukraine,Costa Rica,13,31.2718321,49.4871968,-84.0739102,10.2735633
2022,Ukraine,Cyprus,13707,31.2718321,49.4871968,33.1451285,34.9823018
2022,Ukraine,Czechia,386371,31.2718321,49.4871968,15.3381061,49.7439047
2022,Ukraine,Denmark,27954,31.2718321,49.4871968,10.3333283,55.670249
2022,Ukraine,Ecuador,44,31.2718321,49.4871968,-79.3666965,-1.3397668
2022,Ukraine,Estonia,28181,31.2718321,49.4871968,25.3319078,58.7523778
2022,Ukraine,Finland,29172,31.2718321,49.4871968,25.9209164,63.2467777
2022,Ukraine,France,94970,31.2718321,49.4871968,1.8883335,46.603354
2022,Ukraine,United Kingdom of Great Britain and Northern Ireland,91223,31.2718321,49.4871968,-3.2765753,54.7023545
2022,Ukraine,Georgia,22647,31.2718321,49.4871968,44.0287382,41.6809707
2022,Ukraine,Germany,876311,31.2718321,49.4871968,10.4478313,51.1638175
2022,Ukraine,Greece,16882,31.2718321,49.4871968,21.9877132,38.9953683
2022,Ukraine,Croatia,15387,31.2718321,49.4871968,15.6575209,45.3658443
2022,Ukraine,Hungary,25982,31.2718321,49.4871968,19.5060937,47.1817585
2022,Ukraine,Iceland,1240,31.2718321,49.4871968,-18.1059013,64.9841821
2022,Ukraine,Ireland,41043,31.2718321,49.4871968,-7.9794599,52.865196
2022,Ukraine,Israel,27,31.2718321,49.4871968,34.8594762,30.8124247
2022,Ukraine,Italy,145593,31.2718321,49.4871968,12.674297,42.6384261
2022,Ukraine,Kyrgyzstan,17,31.2718321,49.4871968,74.724091,41.5089324
2022,Ukraine,South Korea,14,31.2718321,49.4871968,127.6961188,36.638392
2022,Ukraine,Liechtenstein,280,31.2718321,49.4871968,9.5531527,47.1416307
2022,Ukraine,Lithuania,47569,31.2718321,49.4871968,23.7499997,55.3500003
